a00	A00 - Kolera
v4628	V46.28 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person på utsidan av fordonet skadad i olycka, ej trafik-andra aktiviteter
v4629	V46.29 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person på utsidan av fordonet skadad i olycka, ej trafik-ospec aktiviteter
v4630	V46.30 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-idrott
v4631	V46.31 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-lek,fritid
v4632	V46.32 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-förvärvsarbete
v4633	V46.33 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-annan sysselsättning
v4634	V46.34 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-vitalaktivitet
v4638	V46.38 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-andra aktiviteter
v4639	V46.39 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-ospec aktiviteter
v4640	V46.40 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person skadad vid på- eller avstigning-idrott
v4641	V46.41 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person skadad vid på- eller avstigning-lek,fritid
v4642	V46.42 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person skadad vid på- eller avstigning-förvärvsarbete
v4643	V46.43 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person skadad vid på- eller avstigning-annan sysselsättning
v4644	V46.44 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person skadad vid på- eller avstigning-vitalaktivitet
v4648	V46.48 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person skadad vid på- eller avstigning-andra aktiviteter
v4649	V46.49 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person skadad vid på- eller avstigning-ospec aktiviteter
v4650	V46.50 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare skadad i trafikolycka-idrott
v4651	V46.51 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare skadad i trafikolycka-lek,fritid
v4652	V46.52 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare skadad i trafikolycka-förvärvsarbete
v4653	V46.53 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare skadad i trafikolycka-annan sysselsättning
v4654	V46.54 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare skadad i trafikolycka-vitalaktivitet
v4658	V46.58 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare skadad i trafikolycka-andra aktiviteter
v4659	V46.59 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare skadad i trafikolycka-ospec aktiviteter
v4660	V46.60 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, passagerare skadad i trafikolycka-idrott
v4661	V46.61 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, passagerare skadad i trafikolycka-lek,fritid
v4662	V46.62 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, passagerare skadad i trafikolycka-förvärvsarbete
v4663	V46.63 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, passagerare skadad i trafikolycka-annan sysselsättning
v4664	V46.64 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, passagerare skadad i trafikolycka-vitalaktivitet
v4668	V46.68 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, passagerare skadad i trafikolycka-andra aktiviteter
v4669	V46.69 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, passagerare skadad i trafikolycka-ospec aktiviteter
v4670	V46.70 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person på utsidan av fordonet skadad i trafikolycka-idrott
v4671	V46.71 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person på utsidan av fordonet skadad i trafikolycka-lek,fritid
v4672	V46.72 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person på utsidan av fordonet skadad i trafikolycka-förvärvsarbete
v4673	V46.73 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person på utsidan av fordonet skadad i trafikolycka-annan sysselsättning
v4674	V46.74 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person på utsidan av fordonet skadad i trafikolycka-vitalaktivitet
v4678	V46.78 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person på utsidan av fordonet skadad i trafikolycka-andra aktiviteter
v4679	V46.79 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, person på utsidan av fordonet skadad i trafikolycka-ospec aktiviteter
v4690	V46.90 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare eller passagerare, ej specificerat, skadad i trafikolycka-idrott
v4691	V46.91 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare eller passagerare, ej specificerat, skadad i trafikolycka-lek,fritid
v4692	V46.92 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare eller passagerare, ej specificerat, skadad i trafikolycka-förvärvsarbete
v4693	V46.93 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare eller passagerare, ej specificerat, skadad i trafikolycka-annan sysselsättning
v4694	V46.94 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare eller passagerare, ej specificerat, skadad i trafikolycka-vitalaktivitet
v4698	V46.98 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare eller passagerare, ej specificerat, skadad i trafikolycka-andra aktiviteter
v4699	V46.99 - Förare av eller passagerare i personbil skadad i kollision med annat icke motordrivet fordon, förare eller passagerare, ej specificerat, skadad i trafikolycka-ospec aktiviteter
v47	V47 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål
v4700	V47.00 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare skadad i olycka, ej trafik-idrott
v4701	V47.01 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare skadad i olycka, ej trafik-lek,fritid
v4702	V47.02 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare skadad i olycka, ej trafik-förvärvsarbete
v4703	V47.03 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare skadad i olycka, ej trafik-annan sysselsättning
v4704	V47.04 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare skadad i olycka, ej trafik-vitalaktivitet
v4708	V47.08 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare skadad i olycka, ej trafik-andra aktiviteter
v4709	V47.09 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare skadad i olycka, ej trafik-ospec aktiviteter
v4710	V47.10 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, passagerare skadad i olycka, ej trafik-idrott
v4711	V47.11 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, passagerare skadad i olycka, ej trafik-lek,fritid
v4712	V47.12 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, passagerare skadad i olycka, ej trafik-förvärvsarbete
v4713	V47.13 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, passagerare skadad i olycka, ej trafik-annan sysselsättning
v4714	V47.14 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, passagerare skadad i olycka, ej trafik-vitalaktivitet
v4718	V47.18 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, passagerare skadad i olycka, ej trafik-andra aktiviteter
v4719	V47.19 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, passagerare skadad i olycka, ej trafik-ospec aktiviteter
v4720	V47.20 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person på utsidan av fordonet skadad i olycka, ej trafik-idrott
v4721	V47.21 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person på utsidan av fordonet skadad i olycka, ej trafik-lek,fritid
v4722	V47.22 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person på utsidan av fordonet skadad i olycka, ej trafik-förvärvsarbete
v4723	V47.23 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person på utsidan av fordonet skadad i olycka, ej trafik-annan sysselsättning
v4724	V47.24 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person på utsidan av fordonet skadad i olycka, ej trafik-vitalaktivitet
v4728	V47.28 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person på utsidan av fordonet skadad i olycka, ej trafik-andra aktiviteter
v4729	V47.29 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person på utsidan av fordonet skadad i olycka, ej trafik-ospec aktiviteter
v4730	V47.30 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-idrott
v4731	V47.31 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-lek,fritid
v4732	V47.32 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-förvärvsarbete
v4733	V47.33 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-annan sysselsättning
v4734	V47.34 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-vitalaktivitet
v4738	V47.38 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-andra aktiviteter
v4739	V47.39 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-ospec aktiviteter
v4740	V47.40 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person skadad vid på- eller avstigning-idrott
v4741	V47.41 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person skadad vid på- eller avstigning-lek,fritid
v4742	V47.42 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person skadad vid på- eller avstigning-förvärvsarbete
v4743	V47.43 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person skadad vid på- eller avstigning-annan sysselsättning
v4744	V47.44 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person skadad vid på- eller avstigning-vitalaktivitet
v4748	V47.48 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person skadad vid på- eller avstigning-andra aktiviteter
v4749	V47.49 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person skadad vid på- eller avstigning-ospec aktiviteter
v4750	V47.50 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare skadad i trafikolycka-idrott
v4751	V47.51 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare skadad i trafikolycka-lek,fritid
v4752	V47.52 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare skadad i trafikolycka-förvärvsarbete
v4753	V47.53 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare skadad i trafikolycka-annan sysselsättning
v4754	V47.54 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare skadad i trafikolycka-vitalaktivitet
v4758	V47.58 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare skadad i trafikolycka-andra aktiviteter
v4759	V47.59 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare skadad i trafikolycka-ospec aktiviteter
v4760	V47.60 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, passagerare skadad i trafikolycka-idrott
v4761	V47.61 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, passagerare skadad i trafikolycka-lek,fritid
v4762	V47.62 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, passagerare skadad i trafikolycka-förvärvsarbete
v4763	V47.63 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, passagerare skadad i trafikolycka-annan sysselsättning
v4764	V47.64 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, passagerare skadad i trafikolycka-vitalaktivitet
v4768	V47.68 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, passagerare skadad i trafikolycka-andra aktiviteter
v4769	V47.69 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, passagerare skadad i trafikolycka-ospec aktiviteter
v4770	V47.70 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person på utsidan av fordonet skadad i trafikolycka-idrott
v4771	V47.71 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person på utsidan av fordonet skadad i trafikolycka-lek,fritid
v4772	V47.72 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person på utsidan av fordonet skadad i trafikolycka-förvärvsarbete
v4773	V47.73 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person på utsidan av fordonet skadad i trafikolycka-annan sysselsättning
v4774	V47.74 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person på utsidan av fordonet skadad i trafikolycka-vitalaktivitet
v4778	V47.78 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person på utsidan av fordonet skadad i trafikolycka-andra aktiviteter
v4779	V47.79 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, person på utsidan av fordonet skadad i trafikolycka-ospec aktiviteter
v4790	V47.90 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare eller passagerare, ej specificerat, skadad i trafikolycka-idrott
v4791	V47.91 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare eller passagerare, ej specificerat, skadad i trafikolycka-lek,fritid
v4792	V47.92 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare eller passagerare, ej specificerat, skadad i trafikolycka-förvärvsarbete
v4793	V47.93 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare eller passagerare, ej specificerat, skadad i trafikolycka-annan sysselsättning
v4794	V47.94 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare eller passagerare, ej specificerat, skadad i trafikolycka-vitalaktivitet
v4798	V47.98 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare eller passagerare, ej specificerat, skadad i trafikolycka-andra aktiviteter
v4799	V47.99 - Förare av eller passagerare i personbil skadad i kollision med fast eller stillastående föremål, förare eller passagerare, ej specificerat, skadad i trafikolycka-ospec aktiviteter
v48	V48 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision
v4800	V48.00 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare skadad i olycka, ej trafik-idrott
v4801	V48.01 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare skadad i olycka, ej trafik-lek,fritid
v4802	V48.02 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare skadad i olycka, ej trafik-förvärvsarbete
v4803	V48.03 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare skadad i olycka, ej trafik-annan sysselsättning
v4804	V48.04 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare skadad i olycka, ej trafik-vitalaktivitet
v4808	V48.08 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare skadad i olycka, ej trafik-andra aktiviteter
v4809	V48.09 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare skadad i olycka, ej trafik-ospec aktiviteter
v4810	V48.10 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-idrott
v4811	V48.11 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-lek,fritid
v4812	V48.12 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-förvärvsarbete
v4813	V48.13 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-annan sysselsättning
v4814	V48.14 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-vitalaktivitet
v4818	V48.18 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-andra aktiviteter
v4819	V48.19 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-ospec aktiviteter
v4820	V48.20 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person på utsidan av fordonet skadad i olycka, ej trafik-idrott
v4821	V48.21 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person på utsidan av fordonet skadad i olycka, ej trafik-lek,fritid
v4822	V48.22 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person på utsidan av fordonet skadad i olycka, ej trafik-förvärvsarbete
v4823	V48.23 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person på utsidan av fordonet skadad i olycka, ej trafik-annan sysselsättning
v4824	V48.24 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person på utsidan av fordonet skadad i olycka, ej trafik-vitalaktivitet
v4828	V48.28 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person på utsidan av fordonet skadad i olycka, ej trafik-andra aktiviteter
v4829	V48.29 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person på utsidan av fordonet skadad i olycka, ej trafik-ospec aktiviteter
v4830	V48.30 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-idrott
v4831	V48.31 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-lek,fritid
v4832	V48.32 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-förvärvsarbete
v4833	V48.33 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-annan sysselsättning
v4834	V48.34 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-vitalaktivitet
v4838	V48.38 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-andra aktiviteter
v4839	V48.39 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare eller passagerare, ej specificerat, skadad i olycka, ej trafik-ospec aktiviteter
v4840	V48.40 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person skadad vid på- eller avstigning-idrott
v4841	V48.41 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person skadad vid på- eller avstigning-lek,fritid
v4842	V48.42 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person skadad vid på- eller avstigning-förvärvsarbete
v4843	V48.43 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person skadad vid på- eller avstigning-annan sysselsättning
v4844	V48.44 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person skadad vid på- eller avstigning-vitalaktivitet
v4848	V48.48 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person skadad vid på- eller avstigning-andra aktiviteter
v4849	V48.49 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person skadad vid på- eller avstigning-ospec aktiviteter
v4850	V48.50 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare skadad i trafikolycka-idrott
v4851	V48.51 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare skadad i trafikolycka-lek,fritid
v4852	V48.52 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare skadad i trafikolycka-förvärvsarbete
v4853	V48.53 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare skadad i trafikolycka-annan sysselsättning
v4854	V48.54 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare skadad i trafikolycka-vitalaktivitet
v4858	V48.58 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare skadad i trafikolycka-andra aktiviteter
v4859	V48.59 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare skadad i trafikolycka-ospec aktiviteter
v4860	V48.60 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-idrott
v4861	V48.61 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-lek,fritid
v4862	V48.62 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-förvärvsarbete
v4863	V48.63 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-annan sysselsättning
v4864	V48.64 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-vitalaktivitet
v4868	V48.68 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-andra aktiviteter
v4869	V48.69 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-ospec aktiviteter
v4870	V48.70 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person på utsidan av fordonet skadad i trafikolycka-idrott
v4871	V48.71 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person på utsidan av fordonet skadad i trafikolycka-lek,fritid
v4872	V48.72 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person på utsidan av fordonet skadad i trafikolycka-förvärvsarbete
v4873	V48.73 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person på utsidan av fordonet skadad i trafikolycka-annan sysselsättning
v4874	V48.74 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person på utsidan av fordonet skadad i trafikolycka-vitalaktivitet
v4878	V48.78 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person på utsidan av fordonet skadad i trafikolycka-andra aktiviteter
v4879	V48.79 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, person på utsidan av fordonet skadad i trafikolycka-ospec aktiviteter
v4890	V48.90 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare eller passagerare, ej specificerat, skadad i trafikolycka-idrott
v4891	V48.91 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare eller passagerare, ej specificerat, skadad i trafikolycka-lek,fritid
v4892	V48.92 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare eller passagerare, ej specificerat, skadad i trafikolycka-förvärvsarbete
v4893	V48.93 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare eller passagerare, ej specificerat, skadad i trafikolycka-annan sysselsättning
v4894	V48.94 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare eller passagerare, ej specificerat, skadad i trafikolycka-vitalaktivitet
v4898	V48.98 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare eller passagerare, ej specificerat, skadad i trafikolycka-andra aktiviteter
v4899	V48.99 - Förare av eller passagerare i personbil skadad i transportolycka, ej kollision, förare eller passagerare, ej specificerat, skadad i trafikolycka-ospec aktiviteter
v49	V49 - Förare av eller passagerare i personbil skadad i transportolycka
v4900	V49.00 - Förare av personbil skadad i kollision med motorfordon vid olycka, ej trafik-idrott
v4901	V49.01 - Förare av personbil skadad i kollision med motorfordon vid olycka, ej trafik-lek,fritid
v4902	V49.02 - Förare av personbil skadad i kollision med motorfordon vid olycka, ej trafik-förvärvsarbete
v4903	V49.03 - Förare av personbil skadad i kollision med motorfordon vid olycka, ej trafik-annan sysselsättning
v4904	V49.04 - Förare av personbil skadad i kollision med motorfordon vid olycka, ej trafik-vitalaktivitet
v4908	V49.08 - Förare av personbil skadad i kollision med motorfordon vid olycka, ej trafik-andra aktiviteter
v4909	V49.09 - Förare av personbil skadad i kollision med motorfordon vid olycka, ej trafik-ospec aktiviteter
v4910	V49.10 - Passagerare i personbil skadad i kollision med motorfordon vid olycka, ej trafik-idrott
v4911	V49.11 - Passagerare i personbil skadad i kollision med motorfordon vid olycka, ej trafik-lek,fritid
v4912	V49.12 - Passagerare i personbil skadad i kollision med motorfordon vid olycka, ej trafik-förvärvsarbete
v4913	V49.13 - Passagerare i personbil skadad i kollision med motorfordon vid olycka, ej trafik-annan sysselsättning
v4914	V49.14 - Passagerare i personbil skadad i kollision med motorfordon vid olycka, ej trafik-vitalaktivitet
v4918	V49.18 - Passagerare i personbil skadad i kollision med motorfordon vid olycka, ej trafik-andra aktiviteter
v4919	V49.19 - Passagerare i personbil skadad i kollision med motorfordon vid olycka, ej trafik-ospec aktiviteter
v4920	V49.20 - Förare av eller passagerare i personbil, ej specificerat, skadad i kollision med motorfordon vid olycka, ej trafik-idrott
v4921	V49.21 - Förare av eller passagerare i personbil, ej specificerat, skadad i kollision med motorfordon vid olycka, ej trafik-lek,fritid
v4922	V49.22 - Förare av eller passagerare i personbil, ej specificerat, skadad i kollision med motorfordon vid olycka, ej trafik-förvärvsarbete
v4923	V49.23 - Förare av eller passagerare i personbil, ej specificerat, skadad i kollision med motorfordon vid olycka, ej trafik-annan sysselsättning
v4924	V49.24 - Förare av eller passagerare i personbil, ej specificerat, skadad i kollision med motorfordon vid olycka, ej trafik-vitalaktivitet
v4928	V49.28 - Förare av eller passagerare i personbil, ej specificerat, skadad i kollision med motorfordon vid olycka, ej trafik-andra aktiviteter
v4929	V49.29 - Förare av eller passagerare i personbil, ej specificerat, skadad i kollision med motorfordon vid olycka, ej trafik-ospec aktiviteter
v4930	V49.30 - Förare av eller passagerare i personbil, ej specificerat, skadad i icke specificerad olycka, ej trafik-idrott
v4931	V49.31 - Förare av eller passagerare i personbil, ej specificerat, skadad i icke specificerad olycka, ej trafik-lek,fritid
v4932	V49.32 - Förare av eller passagerare i personbil, ej specificerat, skadad i icke specificerad olycka, ej trafik-förvärvsarbete
v4933	V49.33 - Förare av eller passagerare i personbil, ej specificerat, skadad i icke specificerad olycka, ej trafik-annan sysselsättning
v4934	V49.34 - Förare av eller passagerare i personbil, ej specificerat, skadad i icke specificerad olycka, ej trafik-vitalaktivitet
v4938	V49.38 - Förare av eller passagerare i personbil, ej specificerat, skadad i icke specificerad olycka, ej trafik-andra aktiviteter
v4939	V49.39 - Förare av eller passagerare i personbil, ej specificerat, skadad i icke specificerad olycka, ej trafik-ospec aktiviteter
v4940	V49.40 - Förare av personbil skadad i kollision med motorfordon i trafikolycka-idrott
v4941	V49.41 - Förare av personbil skadad i kollision med motorfordon i trafikolycka-lek,fritid
v4942	V49.42 - Förare av personbil skadad i kollision med motorfordon i trafikolycka-förvärvsarbete
v4943	V49.43 - Förare av personbil skadad i kollision med motorfordon i trafikolycka-annan sysselsättning
